Rank,Peak,Worldwide gross,Year
1,1.0,2923706026.0,2009
2,1.0,2797501328.0,2019
3,3.0,2320250281.0,2022
5,5.0,2212300000.0,2025
6,3.0,2068223624.0,2015
7,4.0,2048359754.0,2018
9,8.0,1698863816.0,2024
10,3.0,1671537444.0,2015
11,7.0,1656943394.0,2019
12,3.0,1518815515.0,2012
13,4.0,1515341399.0,2015
14,11.0,1495696292.0,2022
15,10.0,1450026933.0,2019
16,14.0,1447038421.0,2023
17,5.0,1402809540.0,2015
18,15.0,1360847665.0,2023
19,9.0,1347280838.0,2018
20,3.0,1342139727.0,2011
21,20.0,1338073645.0,2024
22,9.0,1332539889.0,2017
23,12.0,1308473425.0,2018
25,10.0,1263521126.0,2017
26,15.0,1242805359.0,2018
28,5.0,1214811252.0,2013
29,10.0,1159444662.0,2015
30,12.0,1153337496.0,2016
31,20.0,1148528393.0,2018
32,2.0,1147997407.0,2003
33,,1132679685.0,2019
34,,1128274794.0,2019
35,,1123794079.0,2011
36,7.0,1108594137.0,2012
37,10.0,1104054072.0,2014
39,31.0,1074458282.0,2019
40,32.0,1074144248.0,2019
41,30.0,1073394593.0,2019
42,,1066970811.0,2010
43,3.0,1066179747.0,2006
44,44.0,1059242164.0,2024
45,20.0,1057420387.0,2016
46,34.0,1050693953.0,2019
47,2.0,1046515409.0,1999
48,6.0,1045713802.0,2011
49,1.0,1037535230.0,1993
50,24.0,1034800131.0,2017
